id,tipo,cantidad,peso
1,EXP,64,11.26
2,EXP,65,721.8
3,STD,79,840.38
4,EXP,65,784.91
5,ECO,18,107.65
6,STD,68,721.56
7,ECO,99,46.23
8,EXP,71,381.56
9,EXP,48,322.16
10,ECO,78,711.0
11,EXP,76,761.58
12,ECO,32,865.66
13,EXP,59,249.04
14,EXP,5,733.69
15,ECO,1,68.97
16,STD,21,387.47
17,STD,25,830.01
18,STD,31,543.46
19,ECO,6,9.44
20,ECO,51,465.54
21,EXP,11,283.44
22,ECO,47,755.93
23,ECO,57,358.27
24,STD,47,546.72
25,EXP,66,328.47
26,ECO,12,293.31
27,STD,18,57.99
28,ECO,81,687.61
29,EXP,5,551.71
30,ECO,62,180.28
31,STD,72,333.33
32,STD,97,861.23
33,EXP,66,319.41
34,EXP,9,162.33
35,ECO,23,937.02
36,ECO,5,179.8
37,ECO,7,382.92
38,STD,99,805.1
39,STD,83,268.27
40,ECO,88,881.93
41,ECO,89,982.59
42,STD,99,606.87
43,STD,49,249.85
44,STD,49,490.62
45,STD,3,505.8
46,EXP,30,332.44
47,STD,44,12.82
48,STD,79,537.33
49,ECO,58,458.58
50,ECO,42,664.23
51,ECO,72,196.73
52,ECO,100,494.03
53,STD,30,268.83
54,STD,31,488.02
55,STD,26,842.92
56,EXP,49,130.73
57,EXP,43,758.17
58,ECO,96,779.06
59,STD,67,404.18
60,ECO,60,711.06
61,EXP,52,888.18
62,EXP,27,70.81
63,EXP,8,270.18
64,EXP,29,296.78
65,STD,17,647.02
66,STD,15,930.74
67,STD,92,56.66
68,EXP,15,617.41
69,EXP,56,998.86
70,STD,4,706.54
71,EXP,47,596.39
72,ECO,94,719.49
73,EXP,62,99.24
74,ECO,29,358.39
75,ECO,33,756.12
76,STD,96,952.75
77,EXP,60,516.87
78,STD,31,716.17
79,EXP,68,742.79
80,STD,62,719.75
81,ECO,15,241.73
82,EXP,36,613.06
83,ECO,21,249.97
84,STD,66,6.55
85,EXP,44,371.91
86,ECO,15,159.92
87,ECO,95,530.29
88,ECO,16,677.1
89,ECO,38,230.26
90,EXP,62,495.85
91,STD,24,450.75
92,STD,3,707.31
93,ECO,33,174.06
94,ECO,61,211.45
95,STD,50,252.95
96,STD,27,258.74
97,STD,96,593.22
98,EXP,73,790.03
99,ECO,24,861.11
100,STD,35,15.49
101,STD,71,18.49
102,STD,94,141.05
103,STD,76,564.99
104,EXP,43,645.58
105,EXP,81,694.33
106,EXP,67,881.34
107,EXP,83,276.05
108,STD,7,421.38
109,EXP,42,619.37
110,EXP,77,791.19
111,EXP,22,925.15
112,ECO,46,873.75
113,STD,81,962.9
114,ECO,78,622.61
115,ECO,88,400.12
116,ECO,10,702.92
117,ECO,46,195.42
118,ECO,30,500.39
119,ECO,55,291.28
120,ECO,6,371.93
121,ECO,99,75.91
122,ECO,97,223.86
123,STD,69,101.62
124,EXP,81,445.06
125,ECO,60,675.3
126,EXP,95,494.48
127,ECO,56,862.37
128,ECO,64,267.64
129,EXP,66,746.12
130,EXP,79,955.63
131,STD,33,842.42
132,ECO,72,417.25
133,ECO,72,433.14
134,ECO,45,453.98
135,ECO,33,74.48
136,EXP,54,780.31
137,STD,83,436.0
138,ECO,16,255.26
139,STD,92,867.92
140,ECO,44,224.97
141,EXP,21,428.76
142,EXP,10,517.44
143,EXP,40,744.62
144,EXP,5,90.73
145,STD,77,295.17
146,ECO,88,495.66
147,EXP,62,641.99
148,STD,46,90.85
149,ECO,26,540.16
150,ECO,46,423.92
151,ECO,27,143.27
152,STD,40,92.77
153,STD,17,287.26
154,ECO,77,444.92
155,EXP,33,238.11
156,ECO,22,471.14
157,EXP,70,733.47
158,STD,44,220.12
159,STD,21,539.82
160,ECO,40,698.54
161,ECO,85,831.6
162,STD,6,91.41
163,EXP,87,332.73
164,EXP,80,693.57
165,STD,71,50.13
166,EXP,91,15.1
167,ECO,98,728.22
168,STD,46,694.86
169,ECO,33,904.48
170,ECO,8,666.93
171,EXP,15,645.74
172,STD,97,931.02
173,EXP,84,720.4
174,EXP,5,525.82
175,ECO,81,594.61
176,EXP,72,111.72
177,EXP,37,862.11
178,ECO,3,422.35
179,STD,17,304.77
180,ECO,8,869.23
181,STD,75,163.88
182,EXP,10,324.77
183,ECO,66,967.43
184,STD,68,555.88
185,EXP,99,371.52
186,STD,59,360.36
187,ECO,52,542.09
188,STD,66,920.51
189,EXP,13,548.28
190,STD,20,592.56
191,ECO,39,580.03
192,STD,50,329.6
193,ECO,41,628.45
194,ECO,70,189.55
195,EXP,32,351.41
196,STD,32,453.66
197,STD,71,292.53
198,ECO,4,201.44
199,EXP,75,598.55
200,ECO,78,197.77
201,EXP,16,453.89
202,ECO,39,62.13
203,STD,33,521.76
204,ECO,47,501.3
205,ECO,45,445.09
206,ECO,3,580.89
207,EXP,23,700.58
208,EXP,63,33.94
209,STD,65,393.12
210,STD,1,348.4
211,STD,76,318.53
212,STD,77,300.5
213,ECO,43,679.76
214,STD,90,936.99
215,ECO,12,314.54
216,EXP,68,637.53
217,EXP,65,487.54
218,EXP,62,570.68
219,ECO,53,680.12
220,ECO,85,964.62
221,STD,53,417.19
222,EXP,75,517.44
223,STD,24,621.86
224,EXP,11,634.68
225,ECO,62,273.08
226,ECO,42,741.25
227,EXP,14,361.74
228,EXP,92,836.86
229,EXP,64,168.04
230,STD,4,938.17
231,STD,60,533.61
232,STD,99,909.86
233,STD,21,924.38
234,ECO,47,181.61
235,STD,6,153.57
236,STD,59,526.38
237,STD,1,326.87
238,EXP,49,753.55
239,STD,57,167.93
240,STD,50,549.0
241,EXP,51,991.42
242,EXP,39,525.56
243,ECO,91,923.3
244,STD,50,490.69
245,ECO,98,873.42
246,EXP,80,373.46
247,ECO,65,67.88
248,EXP,42,759.16
249,STD,88,997.37
250,STD,53,492.55
251,ECO,53,253.73
252,ECO,49,13.1
253,ECO,49,223.64
254,EXP,16,125.61
255,ECO,100,10.5
256,EXP,75,971.82
257,STD,56,238.64
258,STD,13,536.09
259,EXP,26,816.54
260,ECO,89,979.59
261,ECO,56,585.54
262,STD,23,356.9
263,STD,54,440.74
264,EXP,41,984.88
265,ECO,61,180.65
266,STD,66,657.75
267,ECO,91,891.26
268,EXP,91,205.18
269,EXP,75,824.85
270,ECO,37,367.91
271,STD,3,794.44
272,EXP,52,333.01
273,EXP,60,307.56
274,ECO,56,504.05
275,STD,31,567.65
276,STD,100,973.05
277,EXP,69,792.13
278,EXP,13,395.56
279,STD,5,28.37
280,ECO,44,644.37
281,ECO,81,545.97
282,STD,93,42.09
283,STD,49,613.4
284,ECO,60,154.46
285,ECO,55,715.61
286,EXP,72,426.67
287,EXP,82,567.78
288,EXP,15,66.63
289,EXP,40,542.71
290,STD,63,613.53
291,EXP,9,193.74
292,ECO,50,440.22
293,EXP,49,291.11
294,STD,51,310.78
295,ECO,90,692.7
296,ECO,38,171.29
297,EXP,6,622.53
298,EXP,53,128.97
299,EXP,98,25.8
300,ECO,89,548.58
301,EXP,11,32.69
302,ECO,29,695.83
303,STD,72,451.21
304,EXP,80,820.37
305,ECO,91,423.09
306,STD,83,892.59
307,STD,37,987.49
308,STD,72,918.5
309,ECO,9,976.55
310,ECO,9,649.28
311,EXP,89,330.32
312,STD,61,422.88
313,ECO,98,300.67
314,STD,64,30.03
315,STD,34,670.67
316,EXP,46,61.37
317,STD,59,305.03
318,STD,41,522.11
319,ECO,32,342.4
320,STD,7,84.78
321,STD,41,920.94
322,STD,79,197.34
323,STD,34,298.29
324,STD,43,353.55
325,ECO,16,423.26
326,ECO,28,180.79
327,EXP,91,13.05
328,EXP,77,27.5
329,EXP,55,438.42
330,ECO,89,892.5
331,STD,72,772.06
332,EXP,10,115.0
333,ECO,7,797.54
334,STD,83,930.43
335,STD,93,728.13
336,EXP,81,681.87
337,ECO,57,814.97
338,EXP,29,226.78
339,STD,84,999.32
340,STD,70,725.96
341,EXP,5,329.11
342,ECO,99,956.42
343,STD,89,646.06
344,ECO,98,134.71
345,ECO,37,986.12
346,EXP,98,43.06
347,STD,61,607.83
348,ECO,22,456.77
349,ECO,42,204.1
350,EXP,70,899.82
351,EXP,83,165.97
352,EXP,35,115.94
353,EXP,86,971.67
354,ECO,91,155.83
355,ECO,43,294.69
356,EXP,17,237.58
357,EXP,8,184.91
358,ECO,33,249.64
359,EXP,99,976.01
360,EXP,48,647.18
361,STD,80,342.95
362,EXP,63,31.33
363,ECO,92,453.03
364,EXP,60,993.22
365,ECO,84,917.56
366,ECO,20,152.16
367,ECO,61,124.49
368,EXP,29,399.76
369,STD,42,399.81
370,STD,100,198.72
371,ECO,60,701.5
372,EXP,9,596.92
373,STD,33,336.45
374,EXP,83,310.96
375,EXP,11,211.49
376,EXP,24,957.69
377,STD,35,125.22
378,STD,1,261.5
379,STD,15,295.5
380,EXP,92,186.59
381,STD,47,294.21
382,STD,30,81.17
383,ECO,75,718.84
384,EXP,6,617.09
385,EXP,76,463.2
386,STD,78,652.44
387,EXP,76,454.44
388,ECO,66,218.45
389,EXP,20,639.26
390,ECO,70,863.76
391,EXP,63,329.01
392,EXP,76,379.86
393,ECO,40,785.23
394,STD,85,220.63
395,STD,31,344.4
396,STD,49,797.95
397,STD,49,695.66
398,STD,79,191.72
399,ECO,45,993.72
400,ECO,64,8.97
401,STD,83,238.34
402,EXP,89,396.51
403,STD,60,337.83
404,EXP,44,790.1
405,EXP,81,120.82
406,EXP,49,734.5
407,ECO,82,869.58
408,STD,27,36.43
409,STD,74,756.94
410,ECO,73,52.09
411,STD,47,393.28
412,ECO,55,807.76
413,ECO,13,686.38
414,STD,56,356.71
415,STD,77,198.6
416,ECO,89,499.48
417,STD,25,291.04
418,ECO,2,49.12
419,ECO,71,169.34
420,EXP,55,31.73
421,ECO,46,338.93
422,STD,22,155.89
423,ECO,26,67.22
424,EXP,90,121.28
425,STD,87,994.82
426,ECO,39,143.02
427,STD,62,898.97
428,ECO,81,374.07
429,STD,80,508.81
430,STD,43,646.11
431,ECO,8,892.68
432,ECO,10,149.25
433,ECO,48,138.04
434,ECO,5,171.9
435,EXP,18,126.58
436,ECO,76,102.09
437,STD,62,984.9
438,ECO,19,686.58
439,STD,87,56.0
440,EXP,52,614.72
441,ECO,68,122.63
442,STD,76,22.79
443,ECO,86,513.22
444,EXP,58,489.61
445,STD,52,804.82
446,EXP,32,741.22
447,STD,71,771.9
448,STD,36,346.13
449,EXP,48,290.54
450,EXP,20,769.53
451,ECO,80,827.56
452,ECO,87,40.3
453,ECO,48,750.22
454,ECO,71,886.2
455,ECO,36,82.27
456,ECO,92,973.58
457,STD,65,505.61
458,ECO,5,73.27
459,EXP,83,948.34
460,ECO,62,418.32
461,EXP,44,596.96
462,STD,58,76.06
463,ECO,67,782.97
464,STD,34,418.77
465,EXP,72,466.09
466,STD,3,384.68
467,ECO,46,180.45
468,EXP,44,360.07
469,ECO,54,825.21
470,ECO,60,322.16
471,ECO,95,276.03
472,ECO,92,164.19
473,STD,59,370.43
474,ECO,20,633.79
475,ECO,63,159.13
476,ECO,24,468.5
477,STD,1,169.39
478,EXP,9,232.73
479,EXP,7,104.89
480,ECO,87,467.37
481,ECO,2,201.83
482,EXP,57,172.07
483,STD,63,345.36
484,STD,60,442.16
485,STD,61,469.99
486,ECO,4,123.03
487,ECO,17,71.63
488,ECO,19,561.23
489,EXP,59,102.76
490,EXP,91,323.71
491,ECO,73,935.37
492,ECO,6,311.71
493,STD,41,310.21
494,STD,34,241.63
495,EXP,76,474.3
496,EXP,87,482.01
497,EXP,1,392.25
498,STD,8,515.47
499,ECO,23,151.05
500,EXP,68,816.78
501,STD,20,817.38
502,ECO,67,592.99
503,EXP,92,527.26
504,ECO,40,273.44
505,EXP,47,488.39
506,EXP,3,554.95
507,ECO,93,535.87
508,STD,91,117.96
509,STD,2,358.33
510,ECO,72,794.9
511,EXP,67,745.1
512,ECO,90,88.27
513,ECO,26,617.65
514,ECO,12,899.36
515,STD,68,933.92
516,ECO,24,234.64
517,STD,29,339.99
518,EXP,62,721.69
519,EXP,41,481.22
520,EXP,4,435.29
521,STD,13,150.14
522,EXP,51,792.33
523,ECO,82,395.46
524,STD,47,955.7
525,STD,79,887.81
526,ECO,35,485.19
527,STD,98,88.6
528,EXP,56,306.18
529,ECO,60,664.99
530,STD,6,496.33
531,ECO,64,47.58
532,EXP,72,307.22
533,EXP,88,351.43
534,EXP,1,521.54
535,STD,83,887.4
536,STD,1,149.48
537,ECO,20,167.6
538,STD,45,656.55
539,ECO,47,662.7
540,EXP,38,849.39
541,ECO,79,918.27
542,STD,11,2.77
543,EXP,85,592.99
544,EXP,51,165.91
545,STD,8,546.96
546,STD,98,352.01
547,EXP,96,655.98
548,STD,33,237.53
549,STD,67,285.93
550,EXP,51,435.08
551,EXP,27,38.3
552,ECO,31,726.15
553,EXP,59,70.82
554,STD,44,780.42
555,ECO,48,735.73
556,ECO,1,441.65
557,STD,25,859.66
558,EXP,19,829.27
559,STD,75,577.35
560,STD,13,40.92
561,STD,50,722.24
562,STD,91,222.2
563,EXP,24,14.47
564,EXP,12,949.29
565,EXP,78,959.06
566,ECO,38,714.05
567,EXP,79,191.41
568,ECO,65,952.0
569,ECO,7,122.91
570,ECO,41,728.85
571,ECO,58,895.51
572,STD,48,957.66
573,EXP,48,432.26
574,EXP,19,923.81
575,EXP,57,591.73
576,ECO,2,561.46
577,ECO,70,945.63
578,STD,14,699.59
579,ECO,87,839.61
580,ECO,71,487.63
581,EXP,38,447.57
582,EXP,1,373.96
583,ECO,21,482.85
584,EXP,100,660.52
585,STD,10,248.03
586,EXP,82,827.09
587,EXP,60,733.27
588,ECO,100,919.43
589,STD,70,743.73
590,ECO,23,214.03
591,STD,100,327.48
592,EXP,80,439.83
593,ECO,63,225.03
594,ECO,51,842.3
595,STD,88,170.64
596,STD,67,76.55
597,STD,84,217.39
598,EXP,87,694.74
599,STD,51,711.24
600,ECO,13,793.7
601,STD,4,526.35
602,ECO,3,288.15
603,ECO,47,909.56
604,STD,55,794.86
605,EXP,81,699.73
606,STD,93,143.03
607,STD,95,491.54
608,ECO,98,821.14
609,ECO,70,509.61
610,ECO,49,614.21
611,STD,19,610.91
612,ECO,69,73.59
613,ECO,33,515.25
614,ECO,99,820.07
615,ECO,67,18.87
616,ECO,32,762.0
617,ECO,62,502.44
618,STD,90,423.59
619,ECO,57,306.52
620,STD,1,49.8
621,ECO,54,278.0
622,STD,94,910.38
623,ECO,48,283.58
624,ECO,32,188.22
625,ECO,78,403.21
626,EXP,22,268.11
627,ECO,50,672.01
628,EXP,50,398.18
629,ECO,42,556.5
630,STD,92,825.72
631,ECO,84,336.19
632,EXP,49,1.36
633,EXP,94,318.54
634,ECO,78,231.5
635,STD,17,228.74
636,ECO,39,117.19
637,EXP,60,560.62
638,STD,2,757.09
639,EXP,83,777.75
640,ECO,52,64.88
641,ECO,6,48.82
642,EXP,67,753.44
643,STD,51,550.84
644,STD,82,717.79
645,STD,76,447.74
646,EXP,32,735.11
647,ECO,94,68.15
648,STD,50,891.01
649,ECO,54,637.43
650,STD,46,844.05
651,STD,100,48.57
652,ECO,74,963.28
653,STD,55,854.68
654,STD,46,857.46
655,ECO,52,634.25
656,EXP,39,169.14
657,EXP,96,453.01
658,EXP,33,113.98
659,EXP,32,328.58
660,STD,17,789.61
661,ECO,100,595.5
662,EXP,95,19.18
663,ECO,32,437.11
664,ECO,56,419.14
665,ECO,81,139.99
666,STD,19,6.91
667,STD,5,863.0
668,EXP,66,715.85
669,STD,26,383.57
670,ECO,55,827.41
671,STD,10,283.77
672,STD,55,100.36
673,EXP,46,558.72
674,ECO,87,594.14
675,ECO,3,62.75
676,STD,32,236.78
677,ECO,88,199.22
678,ECO,46,463.16
679,EXP,62,867.2
680,ECO,3,46.23
681,ECO,88,740.21
682,EXP,29,104.48
683,ECO,98,447.94
684,ECO,86,503.85
685,STD,62,647.98
686,ECO,54,834.18
687,STD,16,200.31
688,EXP,33,457.26
689,ECO,25,810.84
690,EXP,19,240.54
691,ECO,5,552.27
692,STD,32,811.43
693,EXP,57,149.5
694,ECO,53,654.83
695,ECO,13,707.99
696,ECO,58,349.6
697,ECO,63,386.44
698,EXP,88,226.61
699,EXP,23,979.4
700,STD,54,138.7
701,STD,35,145.87
702,ECO,24,801.46
703,STD,64,829.05
704,ECO,61,827.29
705,ECO,8,935.08
706,STD,62,305.23
707,EXP,84,541.98
708,STD,22,913.05
709,EXP,28,223.9
710,EXP,57,652.54
711,ECO,18,374.3
712,EXP,12,152.76
713,ECO,13,817.11
714,ECO,76,11.89
715,ECO,61,182.44
716,STD,98,456.57
717,ECO,42,365.3
718,STD,24,132.81
719,ECO,70,253.66
720,STD,9,845.26
721,ECO,84,160.32
722,STD,20,350.67
723,STD,16,2.79
724,STD,21,893.35
725,ECO,48,85.29
726,EXP,84,327.93
727,STD,13,171.07
728,ECO,33,971.43
729,ECO,12,754.5
730,ECO,97,571.86
731,ECO,52,99.62
732,STD,49,746.25
733,EXP,96,372.76
734,EXP,74,724.24
735,ECO,20,120.37
736,STD,78,877.11
737,ECO,98,107.79
738,EXP,88,681.89
739,ECO,29,69.01
740,ECO,66,52.86
741,ECO,18,493.36
742,STD,59,534.34
743,ECO,1,342.13
744,ECO,61,448.9
745,ECO,77,412.35
746,STD,25,292.74
747,ECO,15,852.44
748,ECO,81,405.78
749,EXP,10,945.54
750,EXP,7,907.13
751,STD,1,852.33
752,STD,22,440.38
753,EXP,97,422.86
754,STD,31,513.09
755,EXP,72,983.9
756,EXP,49,645.99
757,ECO,61,315.53
758,EXP,53,440.82
759,ECO,6,559.48
760,ECO,20,902.21
761,STD,97,788.97
762,STD,4,742.96
763,STD,67,641.18
764,EXP,66,237.17
765,EXP,15,189.87
766,ECO,92,285.61
767,ECO,73,237.98
768,ECO,72,29.24
769,STD,79,648.13
770,EXP,84,517.89
771,STD,76,100.07
772,ECO,58,749.66
773,STD,68,376.0
774,STD,51,867.19
775,ECO,12,372.92
776,ECO,28,556.75
777,EXP,96,258.12
778,EXP,1,224.08
779,EXP,88,254.88
780,ECO,97,968.78
781,ECO,98,623.63
782,EXP,11,644.8
783,ECO,8,277.22
784,STD,35,341.42
785,STD,100,107.41
786,ECO,76,778.33
787,STD,39,237.24
788,STD,26,44.83
789,STD,41,649.14
790,ECO,41,783.09
791,ECO,73,733.41
792,ECO,64,926.38
793,STD,19,398.71
794,ECO,77,61.92
795,STD,61,727.97
796,EXP,25,222.64
797,ECO,81,774.27
798,ECO,64,988.46
799,EXP,93,647.73
800,ECO,98,60.5
801,STD,93,137.14
802,ECO,89,292.31
803,EXP,97,48.42
804,STD,61,13.12
805,ECO,1,797.92
806,STD,17,112.44
807,STD,82,621.09
808,EXP,55,539.02
809,ECO,81,75.83
810,ECO,35,387.54
811,ECO,3,571.27
812,EXP,43,995.71
813,STD,28,681.41
814,EXP,19,100.76
815,ECO,20,489.1
816,ECO,90,78.2
817,ECO,42,561.54
818,STD,100,620.55
819,ECO,56,943.89
820,STD,72,817.14
821,EXP,16,124.69
822,EXP,28,450.15
823,STD,34,508.12
824,ECO,21,723.97
825,ECO,48,652.7
826,EXP,88,132.53
827,STD,69,779.49
828,EXP,85,54.25
829,ECO,92,119.15
830,EXP,84,271.61
831,ECO,37,853.79
832,STD,5,314.94
833,ECO,69,192.35
834,EXP,18,674.59
835,ECO,45,269.77
836,ECO,21,926.7
837,STD,75,132.51
838,STD,78,218.79
839,STD,29,965.73
840,EXP,56,424.37
841,ECO,76,789.2
842,EXP,58,481.89
843,EXP,42,199.83
844,STD,2,250.76
845,STD,11,86.78
846,ECO,82,463.98
847,EXP,88,602.06
848,STD,100,747.62
849,STD,46,181.17
850,STD,70,343.77
851,ECO,23,363.33
852,ECO,64,7.09
853,STD,30,300.52
854,STD,63,212.46
855,ECO,42,745.18
856,ECO,80,1.66
857,ECO,21,482.38
858,STD,49,196.28
859,STD,61,653.78
860,STD,56,960.39
861,ECO,98,940.42
862,STD,21,66.78
863,ECO,10,51.35
864,ECO,8,360.74
865,STD,48,563.76
866,EXP,38,173.95
867,ECO,84,492.02
868,EXP,96,24.48
869,ECO,60,473.88
870,EXP,97,303.34
871,ECO,19,551.13
872,EXP,30,244.77
873,ECO,82,351.74
874,EXP,33,793.32
875,ECO,28,221.34
876,EXP,22,452.73
877,ECO,57,395.9
878,EXP,32,975.48
879,ECO,39,571.11
880,EXP,10,548.41
881,EXP,46,938.93
882,EXP,56,843.44
883,ECO,91,639.98
884,STD,76,194.56
885,ECO,34,542.62
886,STD,93,109.33
887,STD,81,204.46
888,ECO,92,439.94
889,STD,55,988.37
890,ECO,86,47.36
891,ECO,79,260.93
892,STD,100,244.52
893,STD,3,636.68
894,ECO,99,248.78
895,ECO,92,822.4
896,ECO,24,280.56
897,ECO,10,764.59
898,ECO,74,91.35
899,STD,93,899.96
900,ECO,3,886.24
901,EXP,18,892.36
902,EXP,89,766.58
903,EXP,71,909.13
904,ECO,94,515.96
905,ECO,4,871.97
906,STD,87,657.8
907,EXP,57,61.07
908,EXP,3,697.96
909,STD,24,687.65
910,EXP,87,878.07
911,EXP,88,293.87
912,EXP,1,536.34
913,EXP,31,939.41
914,STD,10,240.71
915,STD,59,888.75
916,EXP,83,685.15
917,EXP,16,101.47
918,STD,83,459.3
919,ECO,10,355.1
920,ECO,49,891.98
921,ECO,50,572.48
922,EXP,69,380.98
923,STD,94,656.58
924,ECO,28,557.53
925,ECO,31,801.05
926,ECO,71,589.95
927,STD,70,498.26
928,STD,62,613.27
929,STD,48,111.25
930,STD,30,253.07
931,STD,83,330.03
932,STD,85,223.65
933,ECO,43,329.7
934,EXP,27,64.27
935,EXP,11,656.57
936,ECO,1,925.74
937,ECO,4,798.52
938,STD,13,907.59
939,STD,73,760.77
940,ECO,77,119.31
941,ECO,64,92.44
942,STD,20,927.05
943,EXP,26,883.03
944,ECO,21,844.01
945,STD,97,993.79
946,STD,11,982.95
947,STD,33,324.4
948,ECO,9,421.75
949,ECO,33,594.47
950,ECO,45,417.61
951,EXP,33,43.91
952,STD,69,762.34
953,ECO,58,453.91
954,STD,53,961.77
955,EXP,4,293.95
956,ECO,53,51.68
957,ECO,10,468.99
958,STD,65,759.8
959,ECO,13,219.04
960,ECO,95,373.8
961,ECO,52,740.91
962,EXP,94,291.68
963,EXP,91,951.22
964,EXP,2,807.13
965,EXP,97,280.84
966,STD,67,499.66
967,ECO,21,354.26
968,ECO,100,745.06
969,STD,51,468.02
970,EXP,32,813.14
971,STD,89,547.58
972,STD,51,693.32
973,EXP,20,965.33
974,EXP,40,939.57
975,ECO,77,789.29
976,ECO,97,954.76
977,EXP,32,218.64
978,EXP,85,646.63
979,EXP,89,31.65
980,STD,38,770.86
981,ECO,34,847.58
982,STD,94,783.26
983,ECO,40,59.27
984,ECO,45,442.65
985,ECO,91,909.27
986,EXP,14,715.94
987,EXP,34,747.33
988,ECO,11,548.64
989,ECO,95,433.17
990,EXP,44,385.81
991,ECO,57,289.69
992,EXP,42,379.1
993,EXP,6,338.64
994,EXP,75,147.86
995,EXP,54,178.05
996,STD,78,114.66
997,ECO,43,40.15
998,ECO,54,888.32
999,ECO,27,372.77
1000,EXP,4,88.43
